id,number,description,creation_date,file,created_at,reference,admin_id,coordinates,expires_at,limit,status
,96386178,"RUA DIREITA DO TUBO, PRÓXIMO À IGREJA IECA.",9/5/2025,,,CACUACO-N96386178-2025-PT18,39,,,1,livre
,96385667,"PARAGEM DA PEDONAL DO COLÉGIO SACRINOR, SENTIDO VILA DE CACUACO.",9/6/2025,,,CACUACO-N9638667-2025-PT13,39,,,1,livre
,96386965,"DESVIO DA CIMANGOL, DE FRENTE AO SUPERMERCADO NOSSA CASA",9/6/2025,,,CACUACO-N96386965-2025-PT17,39,,,1,livre
,96387336,"DESVIO DA CIMANGOL, SENTIDO VILA DE CACUACO.",9/6/2025,,,CACUACO-N96387336-2025-PT16,39,,,1,livre
,97,"BAIRRO DOS PESCADORES,  PRÓXIMO DO MERCADO DO MUNDIAL.",7/5/2025,,,CACUACO-N97-2025-PT21,39,,,1,livre
,98,"BAIRRO DOS PESCADORES, NA RUA DO COMITÉ DA UNITA, ATRÁS DO M. MAMBO.",7/5/2025,,,CACUACO-N98-2025-PT22,39,,,1,livre
,99,"BAIRRO DA POLÍCIA, CABEÇA DO SOBA.",7/5/2025,,,CACUACO-N99-2025-PT23,39,,,1,livre
,205,"BAIRRO MARCONI, PRÓXIMO A ESTRADA DO BATE NÚ.",16/05/2025,,,HOJI-YA-HENDA-205-2025-PT80,20,,,1,livre
,232,"BAIRRO PORTO PESQUEIRO, E.N. 100.",26/05/2025,,,HOJI-YA-HENDA-232-2025-PT79,20,,,1,livre
,237,"BAIRRO ILHA DA MADEIRA, RUA DO PARQUE DO SOYO.",26/05/2025,,,HOJI-YA-HENDA-237-2025-PT34,20,,,1,livre
,246,"BAIRRO ILHA DA MADEIRA, RUA SÃO VICENTE.",26/05/2025,,,HOJI-YA-HENDA-246-2025-PT43,20,,,1,livre
,257,"BAIRRO ILHA DA MADEIRA, RUA SÃO VICENTE, PRÓXIMO A TRAVESSA DA RUA DO HUAMBO.",26/05/2025,,,HOJI-YA-HENDA-257-2025-PT52,20,,,1,livre
,176,"BAIRRO 11 DE NOVEMBRO, AVENIDA NGOLA KILUANJE, RUA DO MABULULU.",24/03/2025,,,HOJI-YA-HENDA-N176-2025-PT1,20,,,1,livre
,177,"BAIRRO 11 DE NOVEMBRO, AVENIDA NGOLA KILUANJE, LADO OPOSTO A RUA DA MANAUT.",24/03/2025,,,HOJI-YA-HENDA-N177-2025-PT2,20,,,1,livre
,178,"BAIRRO SANTO ANTÓNIO, RUA DO FUNCHAL, RUA DA PLÁSTICA.",24/03/2025,,,HOJI-YA-HENDA-N178-2025-PT3,20,,,1,livre
,179,"BAIRRO SANTO ANTÓNIO, RUA PORTO MONIZ, RUA DO BOM BECO.",24/03/2025,,,HOJI-YA-HENDA-N179-2025-PT4,20,,,1,livre
,180,"BAIRRO SANTO ANTÓNIO, AVENIDA NGOLA KILUANJE, LADO OPSTO A PARAGEM DOS MOTOQUEIROS.",24/03/2025,,,HOJI-YA-HENDA-N180-2025-PT5,20,,,1,livre
,181,"BAIRRO SANTO ANTÓNIO, RUA DO FUNCHAL, RUA PORTO MONIZ.",24/03/2025,,,HOJI-YA-HENDA-N181-2025-PT6,20,,,1,livre
,182,"BAIRRO SANTO ANTÓNIO, AVENIDA NGOLA KILUANJE, RUA PORTO SANTO, JORNAL DE ANGOLA.",24/03/2025,,,HOJI-YA-HENDA-N182-2025-PT7,20,,,1,livre
,183,"BAIRRO SANTO ANTÓNIO, AVENIDA NGOLA KILUANJE, RUA GALERIA MONTEIRO LUBOLO.",24/03/2025,,,HOJI-YA-HENDA-N183-2025-PT8,20,,,1,livre
,184,"BAIRRO SANTO ANTÓNIO, AVENIDA NGOLA KILUANJE, DE FRENTE AO CABRICUCA.",24/03/2025,,,HOJI-YA-HENDA-N184-2025-PT9,20,,,1,livre
,185,"BAIRRO SANTO ANTÓNIO, AVENIDA NGOLA KILUANJE, DEFRONTE A ESCOLA DA BORRACHEIRA.",24/03/2025,,,HOJI-YA-HENDA-N185-2025-PT10,20,,,1,livre
,186,"BAIRRO SANTO ANTÓNIO, AVENIDA NGOLA  KILUANJE, RUA PONTO DO SOL.",24/03/2025,,,HOJI-YA-HENDA-N186-2025-PT11,20,,,1,livre
,187,"BAIRRO SANTO ANTÓNIO, AVENIDA NGOLA KILUANJE, RUA SANTA CRUZ.",24/03/2025,,,HOJI-YA-HENDA-N187-2025-PT12,20,,,1,livre
,188,"BAIRRO SÃO JOÃO, AVENIDA NGOLA KILUANJE, LADO OPOSTO A SUBESTAÇÃO DA END,",24/03/2025,,,HOJI-YA-HENDA-N188-2025-PT13,20,,,1,livre
,189,"BAIRRO SÃO JOÃO, AVENIDA NGOLA KILUANJE, RUA DA ESTRADA NOVA DA ENCIB, PARAGEM DOS MOTOQUEIROS.",24/03/2025,,,HOJI-YA-HENDA-N189-2025-PT14,20,,,1,livre
,190,"BAIRRO ILHA DA MADEIRA, 7ª AVENIDA, RUA DA LEMBRANÇA.",24/03/2025,,,HOJI-YA-HENDA-N190-2025PT15,20,,,1,livre
,191,"BAIRRO ILHA DA MADEIRA, 7ª AVENIDA, DEFRONTE À AROSFRAM.",24/03/2025,,,HOJI-YA-HENDA-N191-2025PT16,20,,,1,livre
,200,"BAIRRO SANTO ANTÓNIO, RUA ARCO DE SÃO JORGE, NO FINAL DA MESMA JUNTO A RUA DO FI«UNCHAL",16/05/2025,,,HOJI-YA-HENDA-N200-2025-PT81,20,,,1,livre
,202,"BAIRROM CAMPISMO, RUA SANTA CLARA F.",26/05/2025,,,HOJI-YA-HENDA-N202-2025-PT2,20,,,1,livre
,203,BAIRRO MARCONI.,26/05/2025,,,HOJI-YA-HENDA-N203-2025-PT3,20,,,1,livre
,204,"BAIRRO NGUANHÃ, ESTRADA NACIONAL 100.",26/05/2025,,,HOJI-YA-HENDA-N204-2025-PT4,20,,,1,livre
,206,"BAIRRO MARCONI, URBANIZALÇÃO MARCONI.",26/05/2025,,,HOJI-YA-HENDA-N206-2025-PT5,20,,,1,livre
,207,"BAIRRO MARCONI, E.N 100, ENTRADA DO HOSPITAL AGOSTINHO NETO.",26/05/2025,,,HOJI-YA-HENDA-N207-2025-PT6,20,,,1,livre
,208,"BAIRRO SANTA ANTÓNIO, TRAVESSA DA RUA PORTO SANTO.",26/05/2025,,,HOJI-YA-HENDA-N208-2025-PT7,20,,,1,livre
